well_name,plate,DNA_name,DNA_conc,K,Liposome_name,Liposome_conc,Mg,SecYE,WCE,Supp
A1,1,Neu,5.0,135.0,DPPC,3.0,14.0,0.0,BL62,S22
A10,1,Blank,0.0,135.0,DMPC,3.0,8.0,1.25,BL62,S22
A11,1,Blank,0.0,85.0,DOPC,3.0,20.0,1.25,BL62,S22
A12,1,Neu,5.0,135.0,DMPC,3.0,20.0,1.25,BL62,S22
A13,1,B2AR,5.0,85.0,DOPC,3.0,20.0,1.25,BL62,S22
A14,1,Neu,5.0,135.0,DOPC,3.0,20.0,0.0,BL62,S22
A15,1,Neu,5.0,135.0,DMPC,3.0,8.0,0.0,BL62,S22
A16,1,CD47,5.0,85.0,DOPC,3.0,14.0,1.25,BL62,S22
A17,1,Blank,0.0,135.0,DOPC,3.0,8.0,0.0,BL62,S22
A18,1,CD47,5.0,135.0,DMPC,3.0,8.0,1.25,BL62,S22
A19,1,Glut,5.0,85.0,DPPC,3.0,8.0,0.0,BL62,S22
A2,1,Neu,5.0,85.0,no_lipo,0.0,20.0,1.25,BL62,S22
A20,1,Neu,5.0,85.0,no_lipo,0.0,14.0,0.0,BL62,S22
A21,1,B2AR,5.0,85.0,DPPC,3.0,8.0,0.0,BL62,S22
A22,1,Neu,5.0,85.0,no_lipo,0.0,20.0,0.0,BL62,S22
A23,1,Blank,0.0,85.0,DMPC,3.0,14.0,1.25,BL62,S22
A3,1,Glut,5.0,85.0,no_lipo,0.0,20.0,0.0,BL62,S22
A4,1,Neu,5.0,135.0,DOPC,3.0,14.0,1.25,BL62,S22
A5,1,Neu,5.0,135.0,DPPC,3.0,14.0,1.25,BL62,S22
A6,1,B2AR,5.0,85.0,DOPC,3.0,20.0,1.25,BL62,S22
A7,1,CD47,5.0,135.0,no_lipo,0.0,20.0,0.0,BL62,S22
A8,1,Blank,0.0,135.0,DPPC,3.0,8.0,0.0,BL62,S22
A9,1,Blank,0.0,135.0,DMPC,3.0,20.0,0.0,BL62,S22
B1,1,CD47,5.0,135.0,DPPC,3.0,14.0,0.0,BL62,S22
B10,1,Glut,5.0,135.0,DPPC,3.0,20.0,1.25,BL62,S22
B11,1,B2AR,5.0,85.0,DMPC,3.0,8.0,1.25,BL62,S22
B12,1,Blank,0.0,135.0,DPPC,3.0,20.0,1.25,BL62,S22
B13,1,Neu,5.0,85.0,DMPC,3.0,20.0,1.25,BL62,S22
B14,1,Blank,0.0,135.0,DOPC,3.0,8.0,1.25,BL62,S22
B15,1,B2AR,5.0,85.0,DOPC,3.0,14.0,1.25,BL62,S22
B16,1,Neu,5.0,135.0,DPPC,3.0,8.0,0.0,BL62,S22
B17,1,B2AR,5.0,135.0,DMPC,3.0,14.0,0.0,BL62,S22
B18,1,Neu,5.0,85.0,DMPC,3.0,8.0,1.25,BL62,S22
B19,1,Blank,0.0,135.0,DOPC,3.0,20.0,0.0,BL62,S22
B2,1,Blank,0.0,85.0,no_lipo,0.0,8.0,0.0,BL62,S22
B20,1,CD47,5.0,135.0,DMPC,3.0,14.0,0.0,BL62,S22
