Row,Column,Droplet
0,3,1
0,4,2
0,10,1
0,12,1
0,13,1
0,17,2
0,19,2
0,20,2
1,0,1
1,4,1
1,5,1
1,6,1
1,7,1
1,8,1
1,9,1
1,10,1
1,11,1
1,12,2
1,17,1
1,18,1
1,19,1
1,20,2
2,0,1
2,1,1
2,5,1
2,7,1
2,9,2
2,11,1
2,12,1
2,17,1
2,19,1
3,1,2
3,2,1
3,3,2
3,4,1
3,9,1
3,10,1
3,15,1
3,17,2
3,19,1
3,22,1
3,23,2
4,0,2
4,4,1
4,10,2
4,14,2
4,19,1
4,21,1
5,0,2
5,1,1
5,3,2
5,4,1
5,14,1
5,15,2
5,17,1
5,20,1
5,23,1
6,4,1
6,7,1
6,8,1
6,10,1
6,15,1
6,16,1
6,23,1
7,5,1
7,16,1
7,18,1
7,19,1
7,20,1
7,21,1
7,22,1
7,23,1
8,1,1
8,7,1
8,8,2
8,10,1
8,13,1
8,14,1
8,15,2
8,18,2
8,21,2
9,1,1
9,6,2
9,13,2
9,16,1
9,17,1
9,18,1
9,22,1
9,23,1
10,0,2
10,2,2
10,3,1
10,6,1
10,10,1
10,17,1
10,18,2
10,21,2
11,2,1
11,3,1
11,5,1
11,8,1
11,16,1
11,20,1
12,5,2
12,6,1
12,7,1
12,8,1
12,12,1
12,14,1
12,17,1
12,21,1
12,22,1
13,0,1
13,3,2
13,6,1
13,8,2
13,12,1
13,14,2
13,15,1
13,18,1
14,1,1
14,4,1
14,5,2
14,6,1
14,11,1
14,12,1
14,13,2
14,15,1
14,17,1
14,20,1
15,0,1
15,2,1
